date,code,open,high,low,close,peTTM,pbMRQ,psTTM
2020-06-24,sh.600856,0.9500,0.9900,0.9200,0.9900,-0.422244,3.137432,1.413767
2020-06-24,sh.600857,9.2600,9.5500,9.1900,9.3800,96.895925,4.234323,2.326705
2020-06-24,sh.600858,5.6400,5.8000,5.5600,5.7000,-23.360691,0.996403,0.266333
2020-06-24,sh.600859,42.5100,42.8000,39.3900,40.2000,87.682150,2.787361,1.475872
2020-06-24,sh.600860,3.8300,4.0200,3.7700,4.0200,-12.747218,5.424672,1.491041
2020-06-24,sh.600861,13.8800,13.8800,13.4900,13.6600,-65.230536,1.899768,2.432162
2020-06-24,sh.600862,16.6400,17.0700,16.5200,16.7800,37.509718,5.360741,9.128523
2020-06-24,sh.600863,2.4900,2.5000,2.4700,2.4700,13.592890,1.217492,0.977875
2020-06-24,sh.600864,6.0600,6.1600,6.0400,6.1100,-172.008190,0.960555,4.130327
2020-06-24,sh.600865,6.8000,6.8300,6.5100,6.5400,17.468461,1.300056,2.866865
2020-06-24,sh.600866,4.5500,4.5600,4.4600,4.4900,22.927182,2.137303,3.195720
2020-06-24,sh.600867,15.7900,16.1500,15.5100,15.6700,39.105250,6.116612,11.459125
2020-06-24,sh.600868,3.0700,3.0800,3.0500,3.0500,100.596607,2.493963,20.650837
2020-06-24,sh.600869,4.0100,4.0400,3.9800,4.0200,-87.453250,1.846811,0.531282
2020-06-24,sh.600870,3.2800,3.3400,3.2800,3.2800,996.044217,171.249266,53.225688
2020-06-24,sh.600871,1.7200,1.7300,1.7100,1.7100,59.702037,4.819140,0.468580
2020-06-24,sh.600872,56.2900,56.9900,55.8100,56.2100,60.934679,10.776281,9.740710
2020-06-24,sh.600873,4.8300,4.8300,4.7600,4.7700,16.568796,1.612186,0.973492
2020-06-24,sh.600874,6.6700,6.7100,6.6300,6.6800,17.540745,1.512395,3.204565
2020-06-24,sh.600875,9.0500,9.0700,8.9400,8.9700,21.197522,0.936816,0.843148
2020-06-24,sh.600876,13.2800,13.2800,13.1300,13.1900,132.268558,5.594847,4.000906
2020-06-24,sh.600877,5.6000,5.6100,5.5200,5.5400,53.496560,13.764662,12.750878
2020-06-24,sh.600879,6.5000,6.5300,6.4200,6.4400,42.892556,1.410203,1.333099
